CoverageIncomplete	3623
FrontmatterInvalid	14
InvalidREQID	6
LegacyEARSKeyword	48
MissingExclusions	27
ModalityMalformed	180
ModalityUnjudged	502
MovingRefUnpinned	116
OwnershipTransitionInvalid	1
OwnershipTransitionUnmeasured	202
REQTableRowsRejected	84
SpecsDirMissingSpecFile	2
StatusGitConsistency	18
StatusTokenUnrecognized	7
StatusTransitionInvalid	102
SyncSHASlotFormat	6
