.moai/specs/SPEC-MCP-WORKTREE-ROOT-001/spec.md	0	5	h2/word	## §3 Requirements and acceptance criteria	## §3 Requirements and acceptance criteria
.moai/specs/SPEC-MEM-SCOPE-001/spec.md	0	0	h2/word	## 7. Acceptance References	## 6. Success Criteria (성공 기준)
.moai/specs/SPEC-MEMORY-STORE-RECONCILE-001/spec.md	0	0	none		## §E Success Criteria
.moai/specs/SPEC-METRICS-001/spec.md	0	0	h2/word	## 7. Acceptance References	## 6. Success Criteria (성공 기준)
.moai/specs/SPEC-MODEL-PROFILE-MATRIX-001/spec.md	0	0	none		## §C. Success Criteria
.moai/specs/SPEC-NO-HYBRID-001/spec.md	0	0	h2/word	## 7. Acceptance References	## 6. Success Criteria (성공 기준)
.moai/specs/SPEC-PARALLEL-COOK-001/spec.md	0	0	h2/word	## 7. Acceptance References	## 6. Success Criteria (성공 기준)
.moai/specs/SPEC-PHASE-FRONTMATTER-OWNER-001/spec.md	0	0	none		## §3 수용 기준 (Tier S — 인라인)
.moai/specs/SPEC-PRECOMMIT-GATE-SCOPE-001/spec.md	0	0	none		## C. 성공 기준 (Success Criteria)
.moai/specs/SPEC-PRECOMMIT-VET-MONOREPO-001/spec.md	0	0	none		## §D Success Criteria
.moai/specs/SPEC-PREMERGE-SETTINGS-DRIFT-001/spec.md	0	13	none		## §3 수용 기준
.moai/specs/SPEC-REF-SEO-ABSORB-001/spec.md	0	0	none		## §D. 성공 기준
.moai/specs/SPEC-RESUME-MSG-001/spec.md	0	0	h2/word	## 7. Acceptance References	## 6. Success Criteria (성공 기준)
.moai/specs/SPEC-SESSION-HANDOFF-ALIGN-001/spec.md	0	0	none		## §E. Success Criteria (high-level)
.moai/specs/SPEC-SKILL-DESC-001/spec.md	0	0	h2/word	## 7. Acceptance References	## 6. Success Criteria (성공 기준)
.moai/specs/SPEC-SKILL-GALLERY-BENCH-001/spec.md	0	0	none		## §F Success Criteria
.moai/specs/SPEC-SPECLINT-GITBLIND-001/spec.md	0	0	none		## 3. 인수 기준
.moai/specs/SPEC-STEERING-ALIGN-RULE-SCOPING-001/spec.md	0	8	h3+/file-only	### A.1 Observed ground-truth (re-verified live; commands + output recorded in §F.1 / acceptance.md)	## E. Acceptance Criteria Reference
.moai/specs/SPEC-STOP-HOOK-001/spec.md	0	0	h2/word	## 7. Acceptance References	## 6. Success Criteria (성공 기준)
.moai/specs/SPEC-TEAMMATE-REVIVAL-SOLE-WRITER-001/spec.md	0	0	none		## 3. 인수 기준 (AC — Tier S 인라인)
.moai/specs/SPEC-TEMPDIR-CLEANUP-RACE-001/spec.md	0	0	none		## §E Success criteria
.moai/specs/SPEC-TEMPLATE-RULES-CLEANUP-001/spec.md	0	0	none		## §D 성공 기준 요약
.moai/specs/SPEC-TODO-ANALYSIS-001/spec.md	0	0	none		## §D 수용 기준
.moai/specs/SPEC-TODO-SQLITE-001/spec.md	0	0	none		## D. Success Criteria
.moai/specs/SPEC-TOKEN-ACCOUNTING-001/spec.md	0	0	none		## §C Success Criteria
.moai/specs/SPEC-TOKEN-ROUTING-001/spec.md	0	0	none		## §C Success Criteria
.moai/specs/SPEC-TOOL-AUDIT-001/spec.md	0	0	h2/word	## 7. Acceptance References	## 6. Success Criteria (성공 기준)
.moai/specs/SPEC-UPDATE-DATA-SURVIVAL-001/spec.md	0	0	none		## §F Success Criteria
.moai/specs/SPEC-UPDATE-GUARD-EFFICACY-001/spec.md	0	0	none		## §4 성공 기준
.moai/specs/SPEC-UPDATE-HOOK-DELIVERY-001/spec.md	0	0	none		## §D Success Criteria
.moai/specs/SPEC-UPDATE-LEGACY-SKILL-LIST-001/spec.md	0	0	none		## §F Success Criteria
.moai/specs/SPEC-UPDATE-REINSTALL-LOOP-002/spec.md	0	0	none		## §F Success Criteria
.moai/specs/SPEC-UPDATE-YAML-PRESERVE-001/spec.md	0	0	none		## §E Success Criteria
.moai/specs/SPEC-V3R3-DESIGN-FOLDER-FIX-001/spec.md	0	0	h2/word	## 9. Acceptance Criteria Mapping	## 5. Success Criteria (성공 기준)
.moai/specs/SPEC-V3R4-SPECLINT-DEBT-001/spec.md	0	0	none		## 5. Success Criteria
.moai/specs/SPEC-V3R5-STATUSLINE-STDINFIELDS-001/spec.md	0	11	h2/word	## 3. EARS Requirements + Inline Acceptance Criteria	## 3. EARS Requirements + Inline Acceptance Criteria
.moai/specs/SPEC-V3R5-WORKFLOW-LEAN-001/spec.md	0	11	h2/word	## 3. EARS Requirements + Acceptance Criteria (inline)	## 3. EARS Requirements + Acceptance Criteria (inline)
.moai/specs/SPEC-V3R6-AGENTIC-LOOP-CONFIG-001/spec.md	0	0	none		## §D. Success Criteria
.moai/specs/SPEC-V3R6-CHANGELOG-CLEANUP-001/spec.md	0	0	h3+/file-only	### A.3 — Fact 3: 4 sibling SPEC AC 카운트 드리프트 점검 (acceptance.md as SSOT)	
.moai/specs/SPEC-V3R6-CI-FLAKY-STABILIZE-003/spec.md	0	0	none		## §E. 성공 기준 (Success Criteria)
.moai/specs/SPEC-V3R6-DESIGN-SYSTEM-RETIRE-001/spec.md	0	0	none		## §F. Success Criteria
.moai/specs/SPEC-V3R6-DOCS-CODEMAPS-V3-001/spec.md	0	0	none		## §G. Success Criteria
.moai/specs/SPEC-V3R6-DOCS-COVERAGE-001/spec.md	0	0	none		## §H. Success Criteria (성공 기준)
.moai/specs/SPEC-V3R6-DOCS-RC2-DOCSITE-001/spec.md	0	0	none		## §H. Success Criteria
.moai/specs/SPEC-V3R6-DOCS-RC2-README-001/spec.md	0	0	none		## §G. Success Criteria
.moai/specs/SPEC-V3R6-GRAPH-FRESHNESS-001/spec.md	0	0	none		## §G. Success Criteria
.moai/specs/SPEC-V3R6-GRAPH-FRESHNESS-002/spec.md	0	0	none		## §G. Success Criteria
.moai/specs/SPEC-V3R6-HARNESS-V4-001/spec.md	0	0	none		## §F. Success Criteria
.moai/specs/SPEC-V3R6-HOOK-OBSERVE-OPT-IN-001/spec.md	0	7	h2/word	## Section D — Requirements (GEARS Notation) & Acceptance Criteria	## Section D — Requirements (GEARS Notation) & Acceptance Criteria
.moai/specs/SPEC-V3R6-TOOL-POLICY-SSOT-001/spec.md	0	0	none		## §F. Success Criteria
.moai/specs/SPEC-WEB-CONSOLE-010/spec.md	0	0	none		## §3 Success Criteria (summary)
.moai/specs/SPEC-WEB-CONSOLE-014/spec.md	0	0	h3+/file-only	### §A.1 실측 Findings (2026-07-10 — 전체 명령+출력은 acceptance.md §B; 라인 앵커는 실측 시점, run-phase에서 content-token 기준 재검증)	
.moai/specs/SPEC-WEB-CONSOLE-REDESIGN-001/spec.md	0	0	none		## §D 성공 기준
.moai/specs/SPEC-WEB-WRITE-SAFETY-001/spec.md	0	0	none		## §5 Success Criteria
.moai/specs/SPEC-WORKTREE-ENTRY-STRATEGY-001/spec.md	0	0	none		## §E. Success Criteria
.moai/specs/SPEC-WT-DOC-001/spec.md	0	0	h2/word	## 7. Acceptance References	## 6. Success Criteria (성공 기준)
