lang	want	got	depth
go	go	NONE	5
python	python	NONE	5
node	node	NONE	5
rust	rust	NONE	5
java	java	NONE	6
kotlin	kotlin	NONE	6
csharp	csharp	NONE	5
ruby	ruby	NONE	5
php	php	NONE	5
elixir	elixir	NONE	5
cpp	cpp	NONE	5
scala	scala	NONE	6
r	r	NONE	4
flutter	flutter	NONE	5
swift	swift	NONE	5
