SEVERITY  CODE                        FILE                                                                                                                       LINE  MESSAGE
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       94    REQ REQ-AME-052 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       95    REQ REQ-AME-053 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       96    REQ REQ-AME-054 is not referenced by any AC
WARNING   MovingRefUnpinned           /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-PARALLEL-OPT-001/plan.md                        91    `origin/main` decides an invariant claim on this line with no SHA pin and no frozen-baseline variable, so the measurement expires the moment mainline advances. Is this ref the ANCHOR of the measurement or its SUBJECT? Apply the anchor-or-subject predicate (`.claude/rules/moai/core/verification-claim-integrity.md` §2.1), then choose among four remedies — R1 pin the resolved SHA; R2 freeze at pre-flight (`BASELINE_SHA=$(git rev-parse origin/main)`) and decide the criterion against the frozen value; R3 keep the moving ref and declare the exemption with a non-empty reason, `<!-- moving-ref-ok: <reason> -->`; R4 state the measuring command as the criterion and demote any value to a dated reference. Pinning is one branch of four, not the default. This finding is a question, not a verdict: the detector reads shape, never subject.
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         58    REQ REQ-AMR-001 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         59    REQ REQ-AMR-002 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         60    REQ REQ-AMR-003 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         61    REQ REQ-AMR-004 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         65    REQ REQ-AMR-005 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         66    REQ REQ-AMR-006 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         67    REQ REQ-AMR-007 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         71    REQ REQ-AMR-008 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         75    REQ REQ-AMR-009 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         76    REQ REQ-AMR-010 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         80    REQ REQ-AMR-011 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-ASTGREP-MULTILANG-001/spec.md                         81    REQ REQ-AMR-012 is not referenced by any AC
WARNING   MovingRefUnpinned           /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-BACKLOG-HYGIENE-001/spec.md                           123   `origin/main` decides an invariant claim on this line with no SHA pin and no frozen-baseline variable, so the measurement expires the moment mainline advances. Is this ref the ANCHOR of the measurement or its SUBJECT? Apply the anchor-or-subject predicate (`.claude/rules/moai/core/verification-claim-integrity.md` §2.1), then choose among four remedies — R1 pin the resolved SHA; R2 freeze at pre-flight (`BASELINE_SHA=$(git rev-parse origin/main)`) and decide the criterion against the frozen value; R3 keep the moving ref and declare the exemption with a non-empty reason, `<!-- moving-ref-ok: <reason> -->`; R4 state the measuring command as the criterion and demote any value to a dated reference. Pinning is one branch of four, not the default. This finding is a question, not a verdict: the detector reads shape, never subject.
