  PID  PPID STARTED                      COMMAND
21373 21230 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/moai-mcp-threads-poster
21375 21276 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/moai-mcp-cafe24
21376 21274 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/moai-mcp-imweb
21378 21226 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/moai-mcp-threads-poster
21379 21234 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/moai-mcp-smartstore
21380 21268 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/moai-mcp-imweb
21381 21305 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/moai-mcp-cafe24
21384 21269 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/moai-mcp-smartstore
21385 21293 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/moai-mcp-smartstore
21386 21299 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/moai-mcp-imweb
21387 21272 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/moai-mcp-threads-poster
21390 21264 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/moai-mcp-cafe24
21391 21283 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/moai-mcp-threads-poster
21392 21275 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/moai-mcp-imweb
21393 21297 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/moai-mcp-smartstore
21411 21298 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/moai-mcp-threads-poster
21412 21294 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/moai-mcp-imweb
