worktree-dispatch-lang-load	vs-main=0	vs-develop=0
worktree-branch-guard-fix	vs-main=0	vs-develop=0
worktree-herr-plan-refresh	vs-main=0	vs-develop=0
feat/moai-ref-ui-polish	vs-main=0	vs-develop=0
WT-prepush-overwrite	vs-main=0	vs-develop=0
WT-doctor-exit-contract	vs-main=0	vs-develop=0
worktree-rc-version-consistency	vs-main=1	vs-develop=1
worker-global-001	vs-main=0	vs-develop=0
WT-windows-stamp-liveness	vs-main=0	vs-develop=0
worktree-agent-a0e534aab77fa9ce3	vs-main=0	vs-develop=0
worker-branch	vs-main=0	vs-develop=0
worktree-installer-fix	vs-main=0	vs-develop=0
fix/automerge-coderabbit-gate	vs-main=0	vs-develop=0
chore/cc-update-20260827	vs-main=0	vs-develop=0
chore/backfill-sw-sync	vs-main=0	vs-develop=0
feat/SPEC-AGENT-001-wave5	vs-main=0	vs-develop=0
WT-todo-verb-guard	vs-main=0	vs-develop=0
worktree-dead-enableteammode	vs-main=0	vs-develop=0
docs/spec-mode-migrate-module-field	vs-main=0	vs-develop=0
worktree-claude-md-diet	vs-main=0	vs-develop=0
worktree-mcp-catalogue-guidance	vs-main=0	vs-develop=0
worktree-card-readme	vs-main=0	vs-develop=0
chore/spec-lifecycle-close	vs-main=0	vs-develop=0
chore/config-dead-sweep-resume	vs-main=0	vs-develop=0
docs/cc-update-20260530	vs-main=0	vs-develop=0
feature/parallel	vs-main=0	vs-develop=0
feat/SPEC-PLAYWRIGHT-001-wave5	vs-main=0	vs-develop=0
worktree-docs-v31-reland	vs-main=0	vs-develop=0
ci-race-split	vs-main=1	vs-develop=1
WT-project-pipeline	vs-main=0	vs-develop=0
worktree-kanban-leadid	vs-main=0	vs-develop=0
feat/v31-m4-ko-content	vs-main=0	vs-develop=0
feat/A	vs-main=0	vs-develop=0
fix/kanban-notice-operator-surface	vs-main=0	vs-develop=0
worktree-card-astgrep-path	vs-main=0	vs-develop=0
WT-zone-registry-drift	vs-main=0	vs-develop=0
WT-skillstead-gallery	vs-main=0	vs-develop=0
WT-lead-name-register	vs-main=0	vs-develop=0
chore/revert-kanban-rename	vs-main=0	vs-develop=0
WT-security-scan-surface	vs-main=0	vs-develop=0
worktree-card-installps1	vs-main=0	vs-develop=0
feat/SPEC-CLI-HELP-OVERHAUL-001	vs-main=0	vs-develop=0
feat/spec-always-loaded-diet	vs-main=0	vs-develop=0
feat/v31-debt-emphasis-paren	vs-main=0	vs-develop=0
feat/web-shell-chrome	vs-main=0	vs-develop=0
