funclit	update/checker_test.go:724	-	-	*http.Request r	yes
funclit	update/checksum_mandatory_test.go:133	-	-	*http.Request r	no
funclit	update/checksum_mandatory_test.go:157	-	-	*http.Request r	no
funclit	update/checksum_mandatory_test.go:194	-	-	*http.Request r	no
funclit	update/checksum_mandatory_test.go:228	-	-	*http.Request r	no
funclit	update/checksum_mandatory_test.go:46	-	-	*http.Request r	no
method	update/orchestrator_test.go:19	mockChecker	CheckLatest	context.Context ctx	no
method	update/orchestrator_test.go:33	mockUpdater	Download	context.Context ctx	no
method	update/orchestrator_test.go:37	mockUpdater	Replace	context.Context ctx	no
funclit	update/updater_test.go:113	-	-	*http.Request r	no
funclit	update/updater_test.go:135	-	-	*http.Request r	no
funclit	update/updater_test.go:161	-	-	*http.Request r	no
funclit	update/updater_test.go:34	-	-	*http.Request r	no
funclit	update/updater_test.go:506	-	-	*http.Request r	no
funclit	update/updater_test.go:553	-	-	*http.Request r	no
funclit	update/updater_test.go:83	-	-	*http.Request r	no
funclit	verify/source_test.go:114	-	-	context.Context (unnamed)	
funclit	verify/source_test.go:137	-	-	context.Context ctx	yes
funclit	verify/source_test.go:158	-	-	context.Context (unnamed)	
funclit	verify/source_test.go:25	-	-	context.Context (unnamed)	
funclit	verify/source_test.go:55	-	-	context.Context (unnamed)	
funclit	verify/source_test.go:81	-	-	context.Context (unnamed)	
funclit	verify/source_test.go:91	-	-	context.Context (unnamed)	
funclit	web/codex_panel_test.go:318	-	-	context.Context _	
funclit	web/codex_panel_test.go:338	-	-	context.Context _	
funclit	web/mcp_codex_surface_test.go:42	-	-	context.Context _	
method	workflow/worktree_orchestrator_test.go:43	mockWorktreeValidator	Validate	context.Context _	
method	workflow/worktree_orchestrator_test.go:47	mockWorktreeValidator	ValidateWithConfig	context.Context _	
method	workflow/worktree_orchestrator_test.go:62	mockPhaseExecutor	ExecutePlan	context.Context _	
method	workflow/worktree_orchestrator_test.go:67	mockPhaseExecutor	ExecuteRun	context.Context _	
method	workflow/worktree_orchestrator_test.go:72	mockPhaseExecutor	ExecuteSync	context.Context _	
