internal/template/templates/.claude/skills/moai/workflows/loop.md:62	PATH	OK(ROOT)	.claude/skills/moai/workflows/fix.md	-> internal/template/templates/.claude/skills/moai/workflows/fix.md
internal/template/templates/.claude/skills/moai/workflows/loop.md:62	PATH	OK(ROOT)	.claude/rules/moai/workflow/cadence-bridge.md	-> internal/template/templates/.claude/rules/moai/workflow/cadence-bridge.md
internal/template/templates/.claude/skills/moai/workflows/loop.md:96	PATH	OK(ROOT)	.claude/skills/moai/workflows/review.md	-> internal/template/templates/.claude/skills/moai/workflows/review.md
internal/template/templates/.claude/skills/moai/workflows/loop.md:156	PATH	OK(ROOT)	.claude/rules/moai/core/verification-claim-integrity.md	-> internal/template/templates/.claude/rules/moai/core/verification-claim-integrity.md
internal/template/templates/.claude/skills/moai/workflows/loop.md:176	PATH	OK(ROOT)	.claude/rules/moai/workflow/mx-tag-protocol.md	-> internal/template/templates/.claude/rules/moai/workflow/mx-tag-protocol.md
internal/template/templates/.claude/skills/moai/workflows/loop.md:182	PATH	OK(ROOT)	.claude/rules/moai/workflow/archived-agent-rejection.md	-> internal/template/templates/.claude/rules/moai/workflow/archived-agent-rejection.md
internal/template/templates/.claude/skills/moai/workflows/loop.md:208	PATH	OK(ROOT)	.claude/rules/moai/workflow/mx-tag-protocol.md	-> internal/template/templates/.claude/rules/moai/workflow/mx-tag-protocol.md
internal/template/templates/.claude/skills/moai/workflows/loop.md:331	PATH	OK(ROOT)	.claude/rules/moai/development/coding-standards.md	-> internal/template/templates/.claude/rules/moai/development/coding-standards.md
.claude/skills/moai/workflows/codemaps.md:55	MDLINK	OK(REL)	../../../rules/moai/workflow/spec-workflow.md#subcommand-classification	-> .claude/rules/moai/workflow/spec-workflow.md	ANCHOR=MISSING
.claude/skills/moai/workflows/codemaps.md:83	PATH	OK(ROOT)	.claude/workflows/codemaps-extract.js	-> .claude/workflows/codemaps-extract.js
internal/template/templates/.claude/skills/moai/workflows/codemaps.md:55	MDLINK	OK(REL)	../../../rules/moai/workflow/spec-workflow.md#subcommand-classification	-> internal/template/templates/.claude/rules/moai/workflow/spec-workflow.md	ANCHOR=MISSING
internal/template/templates/.claude/skills/moai/workflows/codemaps.md:83	PATH	OK(ROOT)	.claude/workflows/codemaps-extract.js	-> internal/template/templates/.claude/workflows/codemaps-extract.js
.claude/skills/moai/workflows/clean.md:50	PATH	OK(ROOT)	.claude/rules/moai/workflow/archived-agent-rejection.md	-> .claude/rules/moai/workflow/archived-agent-rejection.md
.claude/skills/moai/workflows/clean.md:56	MDLINK	OK(REL)	../../../rules/moai/workflow/spec-workflow.md#subcommand-classification	-> .claude/rules/moai/workflow/spec-workflow.md	ANCHOR=MISSING
.claude/skills/moai/workflows/clean.md:60	PATH	OK(ROOT)	.claude/rules/moai/workflow/archived-agent-rejection.md	-> .claude/rules/moai/workflow/archived-agent-rejection.md
.claude/skills/moai/workflows/clean.md:122	PATH	OK(ROOT)	.claude/rules/moai/workflow/mx-tag-protocol.md	-> .claude/rules/moai/workflow/mx-tag-protocol.md
internal/template/templates/.claude/skills/moai/workflows/clean.md:50	PATH	OK(ROOT)	.claude/rules/moai/workflow/archived-agent-rejection.md	-> internal/template/templates/.claude/rules/moai/workflow/archived-agent-rejection.md
internal/template/templates/.claude/skills/moai/workflows/clean.md:56	MDLINK	OK(REL)	../../../rules/moai/workflow/spec-workflow.md#subcommand-classification	-> internal/template/templates/.claude/rules/moai/workflow/spec-workflow.md	ANCHOR=MISSING
internal/template/templates/.claude/skills/moai/workflows/clean.md:60	PATH	OK(ROOT)	.claude/rules/moai/workflow/archived-agent-rejection.md	-> internal/template/templates/.claude/rules/moai/workflow/archived-agent-rejection.md
internal/template/templates/.claude/skills/moai/workflows/clean.md:122	PATH	OK(ROOT)	.claude/rules/moai/workflow/mx-tag-protocol.md	-> internal/template/templates/.claude/rules/moai/workflow/mx-tag-protocol.md
.claude/skills/moai/workflows/mx.md:31	PATH	OK(ROOT)	.claude/rules/moai/workflow/mx-tag-protocol.md	-> .claude/rules/moai/workflow/mx-tag-protocol.md
.claude/skills/moai/workflows/mx.md:73	MDLINK	OK(REL)	../../../rules/moai/workflow/spec-workflow.md#subcommand-classification	-> .claude/rules/moai/workflow/spec-workflow.md	ANCHOR=MISSING
internal/template/templates/.claude/skills/moai/workflows/mx.md:31	PATH	OK(ROOT)	.claude/rules/moai/workflow/mx-tag-protocol.md	-> internal/template/templates/.claude/rules/moai/workflow/mx-tag-protocol.md
internal/template/templates/.claude/skills/moai/workflows/mx.md:73	MDLINK	OK(REL)	../../../rules/moai/workflow/spec-workflow.md#subcommand-classification	-> internal/template/templates/.claude/rules/moai/workflow/spec-workflow.md	ANCHOR=MISSING
.claude/skills/moai/workflows/project/mode-detection.md:10	PATH	OK(ROOT)	.claude/hooks/moai/trace-ledger.sh	-> .claude/hooks/moai/trace-ledger.sh
