cited_path	first_citing_doc	resolves_in_primary	resolves_in_worktree
.moai/state/verify/m7/ac-wiz-015.log	.moai/specs/SPEC-CLI-WIZARD-RESTRUCTURE-001/progress.md	False	False
.moai/state/verify/m7/1-suite.log	.moai/specs/SPEC-CLI-WIZARD-RESTRUCTURE-001/progress.md	False	False
.moai/state/verify/m7/3-lint.log	.moai/specs/SPEC-CLI-WIZARD-RESTRUCTURE-001/progress.md	False	False
.moai/state/verify/m7/2-cover.log	.moai/specs/SPEC-CLI-WIZARD-RESTRUCTURE-001/progress.md	False	False
.moai/state/verify/wizard-sync/1-hugo-build.log	.moai/specs/SPEC-CLI-WIZARD-RESTRUCTURE-001/progress.md	False	False
.moai/state/verify/wizard-sync/2-flag-grep.log	.moai/specs/SPEC-CLI-WIZARD-RESTRUCTURE-001/progress.md	False	False
.moai/state/verify/wizard-sync/3-github-grep.log	.moai/specs/SPEC-CLI-WIZARD-RESTRUCTURE-001/progress.md	False	False
.moai/state/verify/wizard-sync/6-go-test.log	.moai/specs/SPEC-CLI-WIZARD-RESTRUCTURE-001/progress.md	False	False
.moai/state/verify/327c3427/m1-red-{cli	.moai/specs/SPEC-CLIFIX-CRITICAL-001/progress.md	False	False
.moai/state/verify/327c3427/m4-final-{suite	.moai/specs/SPEC-CLIFIX-CRITICAL-001/progress.md	False	False
.moai/state/verify/t340/m1-m3-gate-cells.txt	.moai/specs/SPEC-CODEX-INIT-001/progress.md	False	False
.moai/state/verify/t340/m4-containment-second-run.txt	.moai/specs/SPEC-CODEX-INIT-001/progress.md	False	False
.moai/state/verify/t340/m5-m6-link-cells-second-run.txt	.moai/specs/SPEC-CODEX-INIT-001/progress.md	False	False
.moai/state/verify/t340/existing-codex-tests-after-gate.txt	.moai/specs/SPEC-CODEX-INIT-001/progress.md	False	False
.moai/state/verify/m2/cover-v2.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m2/full-suite-v2.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m2/full-suite-final.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m3/cover-v2.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m3/cover.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m3/full-suite-final.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m3/full-suite.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m4/cover.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m4/full-suite.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m4/full-suite-fix.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m4/full-suite-nudge2.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m4/full-suite-nudge.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m5/cover-final.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m5/full-suite-final.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/m5/full-suite.txt	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/live-probe/*.ndjson	.moai/specs/SPEC-CODEX-PHASE2-001/progress.md	False	False
.moai/state/verify/t229-m4/{pkg-cli	.moai/specs/SPEC-CODEX-VERDICT-SYNTH-001/progress.md	False	False
.moai/state/verify/config-audit-repair-001/mv-test2.log	.moai/specs/SPEC-CONFIG-AUDIT-REPAIR-001/progress.md	True	False
.moai/state/verify/t362/merge-tree-strict.json	.moai/specs/SPEC-COVERAGE-RULE-SCOPE-001/progress.md	True	False
.moai/state/verify/t362/merge-tree-plain.txt	.moai/specs/SPEC-COVERAGE-RULE-SCOPE-001/progress.md	True	False
.moai/state/verify/t362/fixture/SPEC-FIXM-001/spec.md	.moai/specs/SPEC-COVERAGE-RULE-SCOPE-001/spec.md	True	False
.moai/state/verify/t362/fixture-inline/SPEC-FIXI-001/spec.md	.moai/specs/SPEC-COVERAGE-RULE-SCOPE-001/spec.md	True	False
.moai/state/verify/5077e912	.moai/specs/SPEC-DESIGN-MOAIWEBV2-002/progress.md	True	False
.moai/state/verify/SPEC-DESKTOP-NATIVE-E2E-001	.moai/specs/SPEC-DESKTOP-NATIVE-E2E-001/acceptance.md	True	False
.moai/state/verify/913edc05-…/bodyscan.pl	.moai/specs/SPEC-DOCS-V313-CATCHUP-001/progress.md	False	False
.moai/state/verify/SPEC-DOCSITE-ADVANCED-001	.moai/specs/SPEC-DOCSITE-ADVANCED-001/acceptance.md	True	False
.moai/state/verify/SPEC-DOCSITE-ADVANCED-001/M6-hugo-build.log	.moai/specs/SPEC-DOCSITE-ADVANCED-001/acceptance.md	True	False
.moai/state/verify/SPEC-DOCSITE-E2E-001	.moai/specs/SPEC-DOCSITE-E2E-001/acceptance.md	True	False
.moai/state/verify/SPEC-DOCSITE-E2E-001/hugo.log	.moai/specs/SPEC-DOCSITE-E2E-001/acceptance.md	True	False
.moai/state/verify/SPEC-DOCSITE-E2E-001/i18n.log	.moai/specs/SPEC-DOCSITE-E2E-001/acceptance.md	True	False
.moai/state/verify/SPEC-DOCSITE-E2E-001/hugo-baseline.log	.moai/specs/SPEC-DOCSITE-E2E-001/progress.md	True	False
.moai/state/verify/doctor-promotion/red.log	.moai/specs/SPEC-DOCTOR-PROMOTION-001/progress.md	True	False
.moai/state/verify/doctor-promotion/e1-acdp001.log	.moai/specs/SPEC-DOCTOR-PROMOTION-001/progress.md	True	False
.moai/state/verify/doctor-promotion/e1-full.log	.moai/specs/SPEC-DOCTOR-PROMOTION-001/progress.md	True	False
.moai/state/verify/doctor-promotion/e5-lint.log	.moai/specs/SPEC-DOCTOR-PROMOTION-001/progress.md	True	False
.moai/state/verify/e2e-revival	.moai/specs/SPEC-E2E-REVIVAL-001/progress.md	True	False
.moai/state/verify/envkey-sync/{guard	.moai/specs/SPEC-ENVKEY-ANTHROPIC-SSOT-001/progress.md	False	False
.moai/state/verify/factory-m5/red.txt	.moai/specs/SPEC-FACTORY-MODE-001/progress.md	False	False
.moai/state/verify/fm-m6	.moai/specs/SPEC-FACTORY-MODE-001/progress.md	False	False
.moai/state/verify/fm-m6/step1-full.txt	.moai/specs/SPEC-FACTORY-MODE-001/progress.md	False	False
.moai/state/verify/fm-m6/fm-cli-fn2.out	.moai/specs/SPEC-FACTORY-MODE-001/progress.md	False	False
.moai/state/verify/fm-m6/fm-cli.out	.moai/specs/SPEC-FACTORY-MODE-001/progress.md	False	False
.moai/state/verify/t301	.moai/specs/SPEC-FULL-SUITE-DOCTRINE-001/progress.md	False	False
.moai/state/verify/af9f2ca2/{t235-m3.log	.moai/specs/SPEC-GATE-THREE-AXES-001/progress.md	False	False
